Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
33,Jawa Tengah,Kedelai Biji Kering,2021,Januari,"Rp9,706"
34,DI Yogyakarta,Kedelai Biji Kering,2021,Januari,"Rp9,876"
35,Jawa Timur,Kedelai Biji Kering,2021,Januari,"Rp9,668"
36,Banten,Kedelai Biji Kering,2021,Januari,"Rp10,880"
51,Bali,Kedelai Biji Kering,2021,Januari,"Rp10,277"
52,Nusa Tenggara Barat,Kedelai Biji Kering,2021,Januari,"Rp11,243"
53,Nusa Tenggara Timur,Kedelai Biji Kering,2021,Januari,"Rp12,388"
61,Kalimantan Barat,Kedelai Biji Kering,2021,Januari,"Rp10,421"
62,Kalimantan Tengah,Kedelai Biji Kering,2021,Januari,"Rp12,316"
63,Kalimantan Selatan,Kedelai Biji Kering,2021,Januari,"Rp11,875"
64,Kalimantan Timur,Kedelai Biji Kering,2021,Januari,"Rp11,614"
65,Kalimantan Utara,Kedelai Biji Kering,2021,Januari,"Rp13,250"
71,Sulawesi Utara,Kedelai Biji Kering,2021,Januari,"Rp8,392"
72,Sulawesi Tengah,Kedelai Biji Kering,2021,Januari,"Rp9,429"
73,Sulawesi Selatan,Kedelai Biji Kering,2021,Januari,"Rp10,230"
74,Sulawesi Tenggara,Kedelai Biji Kering,2021,Januari,"Rp11,585"
75,Gorontalo,Kedelai Biji Kering,2021,Januari,-
76,Sulawesi Barat,Kedelai Biji Kering,2021,Januari,"Rp11,847"
81,Maluku,Kedelai Biji Kering,2021,Januari,"Rp11,590"
82,Maluku Utara,Kedelai Biji Kering,2021,Januari,-
91,Papua Barat,Kedelai Biji Kering,2021,Januari,"Rp14,066"
94,Papua,Kedelai Biji Kering,2021,Januari,"Rp12,281"
11,Aceh,Bawang Merah,2021,Januari,"Rp33,853"
12,Sumatera Utara,Bawang Merah,2021,Januari,"Rp29,236"
13,Sumatera Barat,Bawang Merah,2021,Januari,"Rp25,114"
14,Riau,Bawang Merah,2021,Januari,"Rp28,643"
15,Jambi,Bawang Merah,2021,Januari,"Rp25,059"
16,Sumatera Selatan,Bawang Merah,2021,Januari,"Rp28,760"
17,Bengkulu,Bawang Merah,2021,Januari,"Rp30,252"
18,Lampung,Bawang Merah,2021,Januari,"Rp26,251"
19,Kepulauan Bangka Belitung,Bawang Merah,2021,Januari,"Rp34,323"
21,Kepulauan Riau,Bawang Merah,2021,Januari,"Rp37,021"
31,DKI Jakarta,Bawang Merah,2021,Januari,"Rp33,842"
32,Jawa Barat,Bawang Merah,2021,Januari,"Rp27,927"
33,Jawa Tengah,Bawang Merah,2021,Januari,"Rp25,229"
34,DI Yogyakarta,Bawang Merah,2021,Januari,"Rp26,552"
35,Jawa Timur,Bawang Merah,2021,Januari,"Rp25,336"
